participantID,seq,exp,nSamples,medianVal,maxVal
01-9TZK,37,21,1906,152.097375697704,271.23323207046
01-9TZK,38,5,1907,140.335817080286,227.622642870382
02-9TZO,1,15,1904,212.212556655117,280.915922760685
02-9TZO,2,19,1904,219.277106771609,370.04342551678
02-9TZO,3,33,1906,212.40573983605,413.213235187748
02-9TZO,4,40,1906,215.560409882926,383.230430536776
02-9TZO,5,28,1905,203.712913570635,366.92500257793
02-9TZO,6,24,1907,203.876598330758,353.791703389722
02-9TZO,7,21,1906,220.269624440222,387.797120499411
02-9TZO,8,14,1907,192.753365592486,357.534232749656
02-9TZO,9,39,1906,204.143351120817,411.041634849626
02-9TZO,10,11,1907,215.399393503667,389.874956791794
02-9TZO,11,5,1905,231.75087831061,403.173084102448
02-9TZO,12,6,1907,226.699707592045,440.948234965816
02-9TZO,13,18,1907,206.910297365255,422.74633169574
02-9TZO,14,25,1903,200.978992281013,444.617012522665
02-9TZO,15,38,1904,218.409484405071,382.364652237219
02-9TZO,16,4,1904,215.015976584175,381.635653885699
02-9TZO,17,29,1905,223.311357260313,399.275113869523
02-9TZO,18,12,1904,217.51196886235,428.283323366358
02-9TZO,19,26,1905,212.295830744692,407.360433459957
02-9TZO,20,1,1905,224.096131521515,416.927959080356
02-9TZO,21,13,1905,214.468713972813,420.826093464951
02-9TZO,22,17,1906,201.37570011162,305.824251001973
02-9TZO,23,34,1905,213.33634678337,408.430703542163
02-9TZO,24,9,1905,199.101411366749,387.142467797033
02-9TZO,25,27,1905,197.213171294602,408.451051802708
02-9TZO,26,31,1905,220.015216582129,403.988776078624
02-9TZO,27,32,1904,202.665820883401,402.30140669889
02-9TZO,28,37,1904,211.163672396636,409.053514218007
02-9TZO,29,20,1906,226.747410484392,426.915442118963
02-9TZO,30,23,1904,208.887080379993,378.126924340604
02-9TZO,31,2,1905,218.197094699206,360.693602728762
02-9TZO,32,22,1904,217.029232972042,369.446223438019
02-9TZO,33,10,1904,213.652975316522,389.501580143609
02-9TZO,34,36,1905,205.203014575749,495.467374380301
02-9TZO,35,30,1905,218.096107541508,372.805504629067
02-9TZO,36,8,1905,215.224106615039,411.037480134318
02-9TZO,37,3,1906,221.652718319218,389.16485456016
02-9TZO,38,7,1905,247.192818644186,452.188609803157
03-9U4C,1,6,1906,193.842110471152,318.576939325336
03-9U4C,2,21,1906,185.511177177036,307.395488535756
03-9U4C,3,34,1905,193.266844205182,281.530266373445
03-9U4C,4,38,1905,192.270789493484,292.704822958848
03-9U4C,5,2,1905,191.851396975737,295.773569744997
03-9U4C,6,31,1904,164.643528065667,266.183219151528
03-9U4C,7,12,1905,198.39854768904,274.201413926647
03-9U4C,8,1,1904,205.829553007143,290.028216290359
03-9U4C,9,32,1907,208.642353904355,286.819438682975
03-9U4C,10,23,1905,193.936942264286,286.802568229691
03-9U4C,11,25,1904,187.226999832956,283.123130665135
03-9U4C,12,40,1904,176.515946329362,274.485060727873
03-9U4C,13,13,1906,197.157887471295,306.034885066462
03-9U4C,14,17,1905,180.17082383912,271.193562792117
03-9U4C,15,26,1905,167.10620333024,311.635870161909
03-9U4C,16,20,1905,198.671797001738,316.73724215381
03-9U4C,17,14,1904,210.482969454321,286.79581977051
03-9U4C,18,7,1905,205.328919448412,299.84593066402
03-9U4C,19,11,1905,207.103066407082,305.774734664901
03-9U4C,20,28,1906,212.290855302663,285.097303925955
03-9U4C,21,15,1904,201.777694239586,338.020829574738
03-9U4C,22,8,1905,194.383757584689,277.060976431125
03-9U4C,23,9,1905,188.514908777278,455.436310835815
03-9U4C,24,36,1904,202.48358809747,324.529450002889
03-9U4C,25,39,1906,93.8027926715066,308.279402682657
03-9U4C,26,29,1905,189.540614283694,301.100288972666
03-9U4C,27,24,1905,189.397902942151,371.745983905676
03-9U4C,28,33,1904,192.066201299662,310.187254954765
03-9U4C,29,3,1906,194.897612653469,325.071534361358
03-9U4C,30,19,1904,202.18621056715,291.257233342284
03-9U4C,31,18,1905,180.279162318931,290.244626077322
03-9U4C,32,10,1904,191.37993080436,280.195217493018
03-9U4C,33,22,1906,209.645464712593,279.318623499056
03-9U4C,34,27,1904,195.322560613585,334.344042771019
03-9U4C,35,4,1905,195.230006056595,291.393818111036
03-9U4C,36,30,1905,197.134066029436,290.793069989186
03-9U4C,37,37,1904,171.884176730192,362.386051576983
03-9U4C,38,5,1906,206.376978495304,355.351729071901
04-9U66,1,17,1907,192.35485420645,295.206997292677
04-9U66,2,2,1906,226.502379876696,287.879097698125
04-9U66,3,12,1904,187.325312347557,262.220251384995
04-9U66,4,23,1907,195.372245063221,264.506003027053
04-9U66,5,30,1905,200.670875362102,283.253187393602
04-9U66,6,40,1904,189.626635138178,248.014495639306
04-9U66,7,22,1907,198.027208921554,263.517620894139
04-9U66,8,19,1906,190.881058879935,270.415164833226
04-9U66,9,25,1905,196.680474613904,272.849908348066
04-9U66,10,1,1906,189.662937266601,244.232962547454
04-9U66,11,3,1904,203.01283518415,305.4552918868
04-9U66,12,4,1907,207.340137937509,277.108228309582
04-9U66,13,18,1907,198.281735698427,273.131415615828
04-9U66,14,14,1906,200.577302218218,277.561847237501
04-9U66,15,11,1905,188.706258058082,273.988953590586
04-9U66,16,28,1906,206.221484700518,282.792191566201
04-9U66,17,5,1907,192.902447563709,264.212720595955
04-9U66,18,31,1906,181.771892909735,249.271849803812
04-9U66,19,9,1905,193.576159645524,302.641318222101
04-9U66,20,10,1906,201.554982947316,271.582449155543
04-9U66,21,32,1906,205.810179053451,296.638574889345
04-9U66,22,15,1906,193.20910417741,259.802458428893
04-9U66,23,27,1906,188.441667334326,271.802236015618
04-9U66,24,29,1905,194.595372184479,258.090616334677
04-9U66,25,34,1907,188.329108173148,258.338629836199
04-9U66,26,33,1904,207.733739208206,284.521676250213
04-9U66,27,6,1906,207.191553204628,268.694878998561
04-9U66,28,8,1905,197.402721573546,268.894163188711
04-9U66,29,20,1905,203.010874004067,303.566643777606
04-9U66,30,37,1904,207.77676028872,302.156399060245
04-9U66,31,26,1904,192.243544716339,252.331213604095
04-9U66,32,39,1905,200.796220053058,265.861598154428
04-9U66,33,36,1905,203.864871030701,288.68080387397
04-9U66,34,21,1905,208.257573626462,285.885107469184
04-9U66,35,24,1904,197.857659269451,287.544525730351
04-9U66,36,13,1905,197.53244557514,277.265744848903
04-9U66,37,38,1907,209.591844276647,268.962110523157
04-9U66,38,7,1904,186.330319412112,263.118329432518
05-9U8B,1,27,1905,190.849148139528,309.074053328784
05-9U8B,2,5,1904,191.69005426509,296.40993332958
05-9U8B,3,22,1906,217.881580149026,312.914825898179
05-9U8B,4,11,1907,208.451281438777,313.866269905877
05-9U8B,5,6,1906,213.997583504394,318.717355179486
05-9U8B,6,7,1907,193.126886385285,309.859317687152
05-9U8B,7,19,1905,204.460435228507,300.267096902661
05-9U8B,8,24,1906,213.44532003453,327.780144421314
05-9U8B,9,26,1906,234.680893452072,340.062325573741
05-9U8B,10,2,1907,190.523454790375,341.285464702787
05-9U8B,11,28,1905,208.990474644448,341.071398195597
05-9U8B,12,15,1905,196.406193885294,355.506922795699
05-9U8B,13,9,1905,206.327598918785,347.862738278886
05-9U8B,14,4,1907,234.414175233059,346.446640530195
05-9U8B,15,20,1905,225.768461027065,340.642193167374
05-9U8B,16,21,1905,215.666147968163,298.335876148243
05-9U8B,17,12,1907,229.078982360524,363.098826473784
05-9U8B,18,14,1906,232.42440049397,344.411088100108
05-9U8B,19,13,1907,196.85810394852,366.687560162539
05-9U8B,20,40,1906,204.988463697667,357.412252683508
05-9U8B,21,8,1905,215.762732038145,324.940871906851
05-9U8B,22,29,1906,220.725027515405,375.548937086756
05-9U8B,23,23,1907,210.123234419994,327.725781680345
05-9U8B,24,30,1908,214.984471913254,346.605493083453
05-9U8B,25,34,1905,208.773001289751,327.518147652054
05-9U8B,26,37,1907,204.748393120463,318.214179921539
05-9U8B,27,25,1905,195.336403601174,328.119143653268
05-9U8B,28,33,1904,198.959404666615,319.459851690891
