participantID,seq,exp,preDynamicMedian,walkDynamicMedian,walkRawMedian,preSelectedFrac,walkSelectedFrac,valence,dominance,arousal,liking,familiarity
03-9U4C,3,34,22.3052719368928,228.485922774918,978.873956479499,1,0.768805649370586,2.9,7.5,7.8,9,2
03-9U4C,4,38,22.1400507115312,236.618025420718,981.280732618807,1,0.80374479889043,3.2,7.7,8.1,9,1
03-9U4C,5,2,21.9035284344133,213.242401046136,973.297129090155,1,0.791319444444444,8.1,5,5.9,8.9,1
03-9U4C,6,31,23.9708499576188,194.588790108231,976.572729116118,1,0.799568189996402,2.1,7.1,3.3,9,1
03-9U4C,7,12,23.3184116478149,230.772554957144,979.281667618806,1,0.729403149029659,5,5,1.8,5,1
03-9U4C,8,1,24.2259681477932,230.781805030436,978.058011691682,1,0.804084458290066,5,5,1,1,1
03-9U4C,9,32,21.900929226066,235.07449781995,979.615134715833,1,0.760413080895009,4.1,6.7,6.3,8.9,1
03-9U4C,10,23,18.901369813454,229.734816956313,976.49840568444,1,0.788045471213788,1.9,5,1,1,1
03-9U4C,11,25,23.5564356581038,229.072521388477,977.167113059837,1,0.814422419685578,4.2,5,1.1,1,1
03-9U4C,12,40,23.0050524218781,227.446389513058,977.761132858101,1,0.79366127434797,7,6.7,7,9,1
03-9U4C,13,13,22.3078221303802,231.514215324671,979.244615721258,1,0.762968052215733,3.5,5,1,1,1
03-9U4C,14,17,22.2285779470459,214.26025506519,977.167113059837,1,0.746851792056829,1.8,5,1,1,1
03-9U4C,15,26,21.9502587840612,203.23535217113,977.315652562566,1,0.804979253112033,5.4,5,1,5,1
03-9U4C,16,20,23.8696860161918,225.321227401881,983.017356825699,1,0.819577080491132,7,5,4,9,1
03-9U4C,17,14,22.7450006160013,228.670837730475,982.500387367475,1,0.826011760636458,5,5,3,5,1
03-9U4C,18,7,22.8946732478014,231.504625744951,977.835363129775,1,0.80446293494705,6.6,6.2,6.8,9,4
03-9U4C,19,11,22.3575282603999,235.305886610627,982.57425680011,1,0.712946893439778,7.2,5,3.6,9,1
03-9U4C,20,28,21.4770553324202,236.014611057445,977.76113567583,1,0.76346015793252,2.4,5,2.2,1,1
03-9U4C,21,15,23.431653048703,227.790883856013,975.345667550549,1,0.794085027726433,7.1,4.6,5.4,8.9,1
03-9U4C,22,8,24.3688820897966,231.591163179428,975.97798035131,1,0.776634827332844,3.5,5,2.2,1,1
03-9U4C,23,9,24.3045572008128,225.623434409554,974.712943141247,0.9,0.788544668587896,6.2,5,5,8.9,1
03-9U4C,24,36,22.5451542939679,230.831865589043,978.058011691682,1,0.748266296809986,3.2,6.5,6.2,9,3
03-9U4C,25,39,22.2477733974553,199.163158344993,983.238831956779,1,0.547600518806745,2.9,7.9,7.6,9,1
03-9U4C,26,29,24.0360690590957,215.657437442518,977.612663860279,1,0.745129351644842,3.8,5,2.1,1,1
03-9U4C,27,24,23.0767004512375,214.048933719576,979.837378860119,1,0.801077199281867,2.4,5,2.6,1,1
03-9U4C,28,33,20.4144184088428,223.065230102745,978.058011691682,1,0.806225953130465,5.8,5.7,5.7,5,2
03-9U4C,29,3,21.732632831084,218.019357348972,978.577328001028,1,0.730344596855136,2.9,5,2.1,1,3
03-9U4C,30,19,24.3910637207115,222.628419375942,975.977983184513,1,0.797328244274809,2,5,1.1,1,1
03-9U4C,31,18,21.7575032835709,218.757805966183,978.873956479499,1,0.795963302752294,1.1,5,1,1,1
03-9U4C,32,10,22.5476799371269,211.584200024376,982.093999914887,1,0.794596466920679,6.6,6.8,7,9,1
03-9U4C,33,22,21.9243096216187,238.564237259096,978.799807787465,1,0.811334824757644,6.2,5,3.1,5,1
03-9U4C,34,27,24.3583676857777,222.620492675294,976.275401440139,1,0.806174286830793,4,5,2.9,1,1
03-9U4C,35,4,22.5653455910258,224.832597761695,979.615134715833,1,0.807764794572182,5,5,2,1,1
03-9U4C,36,30,22.044713418834,223.616789661751,979.244615721258,1,0.804044117647059,4.4,5,4.8,1,1
03-9U4C,37,37,24.8351206852421,215.242091327086,979.244615721258,1,0.719411553641909,1.7,3.7,3.1,1,1
03-9U4C,38,5,20.7751279620523,220.607947622677,978.725650668486,1,0.773695811903013,1.6,5,4.4,1,1
04-9U66,1,17,20.4534190354509,223.807121858821,980.688847472129,1,0.715750915750916,4,6.6,3,6.7,1
04-9U66,2,2,21.4611454167502,230.705573913736,988.906385733513,1,0.785898855666298,8.7,3.1,7.7,8.5,5
04-9U66,3,12,19.7194106436854,207.841543098563,983.607846355943,1,0.787764350453172,5.2,8.7,2.7,2.6,1
04-9U66,4,23,18.4178305032306,206.785079670631,987.216887981759,1,0.75643167390578,1.6,2.5,5.7,1,1
04-9U66,5,30,18.1155363657701,212.618158889093,980.725851805722,1,0.761606484893147,2.8,5.3,6.5,7,3
