normalization,subjectID,markerGroup,nValidEmotions,spearmanRho
baseline-normalized,XR2302,UTORSO,5,1
baseline-normalized,XR2302,HEAD,5,0.9
baseline-normalized,XR2302,UPPER_LIMB_L,5,0.8
baseline-normalized,XR2302,UPPER_LIMB_R,5,0.9
baseline-normalized,XR2302,LOWER_LIMB_L,5,1
baseline-normalized,XR2302,LOWER_LIMB_R,5,0.9
baseline-normalized,XR2302,WRIST_L,5,0.9
baseline-normalized,XR2302,WRIST_R,5,0.9
baseline-normalized,XR2302,LTORSO,5,1
baseline-normalized,XT2701,UTORSO,5,0.7
baseline-normalized,XT2701,HEAD,5,0.6
baseline-normalized,XT2701,UPPER_LIMB_L,5,0.7
baseline-normalized,XT2701,UPPER_LIMB_R,5,0.7
baseline-normalized,XT2701,LOWER_LIMB_L,5,1
baseline-normalized,XT2701,LOWER_LIMB_R,5,1
baseline-normalized,XT2701,WRIST_L,5,0.9
baseline-normalized,XT2701,WRIST_R,5,0.7
baseline-normalized,XT2701,LTORSO,5,0.9
baseline-normalized,XW3001,UTORSO,5,0.9
baseline-normalized,XW3001,HEAD,5,0.9
baseline-normalized,XW3001,UPPER_LIMB_L,5,0.7
baseline-normalized,XW3001,UPPER_LIMB_R,5,0.6
baseline-normalized,XW3001,LOWER_LIMB_L,5,1
baseline-normalized,XW3001,LOWER_LIMB_R,5,1
baseline-normalized,XW3001,WRIST_L,5,0.6
baseline-normalized,XW3001,WRIST_R,5,0.6
baseline-normalized,XW3001,LTORSO,5,0.9
baseline-normalized,XY1700,UTORSO,5,0.9
baseline-normalized,XY1700,HEAD,5,1
baseline-normalized,XY1700,UPPER_LIMB_L,5,0.9
baseline-normalized,XY1700,UPPER_LIMB_R,5,1
baseline-normalized,XY1700,LOWER_LIMB_L,5,0.9
baseline-normalized,XY1700,LOWER_LIMB_R,5,0.8
baseline-normalized,XY1700,WRIST_L,5,0.8
baseline-normalized,XY1700,WRIST_R,5,0.9
baseline-normalized,XY1700,LTORSO,5,1
