normalization,subjectID,markerGroup,emotion,fullMedian,microMedian
absolute,IJ1701,UTORSO,JOY,31.626681272397,19.0763107595072
absolute,IJ1701,UTORSO,SAD,23.9790179684936,14.8267307606469
absolute,IJ1701,HEAD,NEUTRAL,43.5094188546371,17.2093822280034
absolute,IJ1701,HEAD,DISGUST,77.4880003280932,23.8630991931924
absolute,IJ1701,HEAD,FEAR,24.7292115280531,13.6101672409415
absolute,IJ1701,HEAD,JOY,42.1709772267603,21.1347926718639
absolute,IJ1701,HEAD,SAD,43.9941094282396,17.870565955185
absolute,IJ1701,UPPER_LIMB_L,NEUTRAL,60.3118536450764,15.2695976304928
absolute,IJ1701,UPPER_LIMB_L,DISGUST,52.4414995290483,21.257157053841
absolute,IJ1701,UPPER_LIMB_L,FEAR,15.383260034861,11.702625747364
absolute,IJ1701,UPPER_LIMB_L,JOY,41.9398453529589,22.0871324091395
absolute,IJ1701,UPPER_LIMB_L,SAD,25.1230303263684,15.1101118476599
absolute,IJ1701,UPPER_LIMB_R,NEUTRAL,49.9628102221674,16.8364329676167
absolute,IJ1701,UPPER_LIMB_R,DISGUST,45.1444691211872,21.3684009764585
absolute,IJ1701,UPPER_LIMB_R,FEAR,17.2315827537701,11.2421264856178
absolute,IJ1701,UPPER_LIMB_R,JOY,40.4686436753947,18.6845297776959
absolute,IJ1701,UPPER_LIMB_R,SAD,31.0274947717699,16.2713596194254
absolute,IJ1701,LOWER_LIMB_L,NEUTRAL,14.5799208426897,8.65678419076968
absolute,IJ1701,LOWER_LIMB_L,DISGUST,14.3618318103155,10.5103886162302
absolute,IJ1701,LOWER_LIMB_L,FEAR,5.34477872385609,4.49129486770669
absolute,IJ1701,LOWER_LIMB_L,JOY,11.2783789814492,8.9594246218268
absolute,IJ1701,LOWER_LIMB_L,SAD,9.34429048977888,6.59368273053165
absolute,IJ1701,LOWER_LIMB_R,NEUTRAL,11.4977944924521,7.16663372710209
absolute,IJ1701,LOWER_LIMB_R,DISGUST,11.8281892337233,9.07323538842239
absolute,IJ1701,LOWER_LIMB_R,FEAR,4.86173589575991,4.16749204038003
absolute,IJ1701,LOWER_LIMB_R,JOY,10.9345659464687,8.9377368915031
absolute,IJ1701,LOWER_LIMB_R,SAD,9.08181080334473,5.32685671233942
absolute,IJ1701,WRIST_L,NEUTRAL,63.6330900940333,17.0659098679783
absolute,IJ1701,WRIST_L,DISGUST,50.7050654585756,19.652085641174
absolute,IJ1701,WRIST_L,FEAR,13.784000813239,10.3226387661894
absolute,IJ1701,WRIST_L,JOY,44.7376075626778,21.2361762315491
absolute,IJ1701,WRIST_L,SAD,24.6930708818896,13.8286603743642
absolute,IJ1701,WRIST_R,NEUTRAL,60.4087028448013,17.85434629514
absolute,IJ1701,WRIST_R,DISGUST,53.4695935799829,21.3315481591097
absolute,IJ1701,WRIST_R,FEAR,19.8857906911229,10.5680190767224
absolute,IJ1701,WRIST_R,JOY,50.6547595477093,17.7824694980833
absolute,IJ1701,WRIST_R,SAD,35.547367435248,17.0097675575188
absolute,IJ1701,LTORSO,NEUTRAL,37.1424556317804,14.7931242574395
absolute,IJ1701,LTORSO,DISGUST,36.7524436117708,19.38108942573
absolute,IJ1701,LTORSO,FEAR,11.3877937994505,9.1659113491686
absolute,IJ1701,LTORSO,JOY,30.0462302205213,18.3707893893813
absolute,IJ1701,LTORSO,SAD,26.6210934192459,12.2888331505395
absolute,LE2202,UTORSO,NEUTRAL,54.9568595462094,17.2164122655924
absolute,LE2202,UTORSO,DISGUST,58.942510115804,22.9288860365296
absolute,LE2202,UTORSO,FEAR,18.4584848616007,14.3644971826693
absolute,LE2202,UTORSO,JOY,43.8980556727372,21.7066219978858
absolute,LE2202,UTORSO,SAD,42.5298595725783,21.8863098235676
absolute,LE2202,HEAD,NEUTRAL,93.5516589703622,20.7323772372892
absolute,LE2202,HEAD,DISGUST,107.787784621587,28.2686103629073
absolute,LE2202,HEAD,FEAR,32.3113823214727,16.2039773890817
absolute,LE2202,HEAD,JOY,110.610231540047,28.1478756167904
