normalization,subjectID,markerGroup,pairLabel,deltaFull,ciFullLow,ciFullHigh,deltaMicro,ciMicroLow,ciMicroHigh,okFull,okMicro,includeCI
absolute,XJ1802,LTORSO,NEUTRAL-DISGUST,-23.5458183675322,-25.1375614429009,-22.2550482723218,2.24240943161086,1.5033728431777,2.71566974829993,1,1,1
absolute,XJ1802,LTORSO,NEUTRAL-JOY,22.6695754279331,20.8987758760219,24.7403979180149,6.72394463343622,6.18484535577481,7.32508769552932,1,1,1
absolute,XJ1802,LTORSO,NEUTRAL-SAD,-2.79353887283342,-4.06149562023378,-0.275593159146656,6.59670784070914,6.08203678350169,7.13646162200117,1,1,1
absolute,XJ1802,LTORSO,DISGUST-JOY,46.2153937954653,44.1880312475358,47.7557202115522,4.48153520182536,3.89047313584428,5.05823465720332,1,1,1
absolute,XJ1802,LTORSO,DISGUST-SAD,20.7522794946987,19.6441066486212,22.1199311987285,4.35429840909828,4.11214599826501,4.83325803629254,1,1,1
absolute,XJ1802,LTORSO,JOY-SAD,-25.4631143007665,-27.2989680048724,-23.4036514315661,-0.127236792727075,-0.806630471041062,0.275125719594008,1,1,1
absolute,XM2301,UTORSO,NEUTRAL-DISGUST,26.9385842314541,25.8830349774459,28.3314918440364,8.18030840669984,8.02840124617206,8.48529769431265,1,1,1
absolute,XM2301,UTORSO,NEUTRAL-JOY,82.0400710213945,80.7421627117816,82.9201082611432,12.7597343129225,12.3658694190204,13.2731787556558,1,1,1
absolute,XM2301,UTORSO,NEUTRAL-SAD,-7.64736091743776,-8.07124826854939,-7.19603871030674,-1.969794374172,-2.14891738114657,-1.6510904932925,1,1,1
absolute,XM2301,UTORSO,DISGUST-JOY,55.1014867899404,53.5877038282659,57.2466021966537,4.57942590622262,4.17978475359541,5.16698247962149,1,1,1
absolute,XM2301,UTORSO,DISGUST-SAD,-34.5859451488918,-36.0237527650235,-33.5163353738738,-10.1501027808718,-10.4121310350946,-9.83577512472039,1,1,1
absolute,XM2301,UTORSO,JOY-SAD,-89.6874319388322,-90.6934205458864,-88.2893678232946,-14.7295286870945,-15.2961754065757,-14.2293401346354,1,1,1
absolute,XM2301,HEAD,NEUTRAL-DISGUST,56.614840267841,55.1384746123079,58.6553606852373,4.30759332867352,3.42548307674915,4.73095430945248,1,1,1
absolute,XM2301,HEAD,NEUTRAL-JOY,92.927550760257,90.4502659858215,94.7038240006244,11.1505760604399,10.3452792987525,11.8580619146712,1,1,1
absolute,XM2301,HEAD,NEUTRAL-SAD,-8.44736184007482,-9.99770160489433,-7.17990229632516,-0.593656884976737,-0.956065320979155,-0.0589084053339053,1,1,1
absolute,XM2301,HEAD,DISGUST-JOY,36.3127104924159,33.1713659389227,38.7465482257778,6.84298273176634,6.14670980014271,7.63248091752932,1,1,1
absolute,XM2301,HEAD,DISGUST-SAD,-65.0622021079159,-67.5507530582044,-63.5419434456743,-4.90125021365026,-5.48531916080625,-4.47057434500937,1,1,1
absolute,XM2301,HEAD,JOY-SAD,-101.374912600332,-103.205141132031,-99.2564770204906,-11.7442329454166,-12.3167332254563,-11.2081694320196,1,1,1
absolute,XM2301,UPPER_LIMB_L,NEUTRAL-DISGUST,43.1436867503797,41.7418709589518,44.5648483110749,6.16168113169375,5.75734832255785,6.68828775235571,1,1,1
absolute,XM2301,UPPER_LIMB_L,NEUTRAL-JOY,100.266352230188,99.0832160032272,101.711656314032,13.0635778895913,12.2185744786745,13.8050752269187,1,1,1
absolute,XM2301,UPPER_LIMB_L,NEUTRAL-SAD,-11.7372356528229,-12.303025676182,-10.8304273406749,-3.49153529919992,-3.85679438653926,-3.26636536653238,1,1,1
absolute,XM2301,UPPER_LIMB_L,DISGUST-JOY,57.1226654798081,55.1662640511175,59.1861721764501,6.90189675789751,5.97419836649242,8.0485307440531,1,1,1
absolute,XM2301,UPPER_LIMB_L,DISGUST-SAD,-54.8809224032027,-56.5779399237358,-53.6343722636299,-9.65321643089366,-10.0204666832548,-9.11104409520284,1,1,1
absolute,XM2301,UPPER_LIMB_L,JOY-SAD,-112.003587883011,-113.928984345838,-110.310282654026,-16.5551131887912,-17.4715115497262,-15.7769989640665,1,1,1
absolute,XM2301,UPPER_LIMB_R,NEUTRAL-DISGUST,36.9179692972243,35.8529252011485,37.9156832753318,7.99208393409284,7.51157770019231,8.64105662051937,1,1,1
absolute,XM2301,UPPER_LIMB_R,NEUTRAL-JOY,95.686088480994,93.5910331924243,98.4023102952889,11.245785581387,10.5744758525725,11.7768149154842,1,1,1
absolute,XM2301,UPPER_LIMB_R,NEUTRAL-SAD,-10.4062772529236,-11.4878444915312,-9.5271922988086,-3.14170385249555,-3.46263554615098,-2.89493643731665,1,1,1
absolute,XM2301,UPPER_LIMB_R,DISGUST-JOY,58.7681191837697,56.4165372497431,61.4959855200376,3.25370164729417,2.20665298009118,3.92053886803231,1,1,1
absolute,XM2301,UPPER_LIMB_R,DISGUST-SAD,-47.3242465501479,-48.3971493190028,-46.224942761293,-11.1337877865884,-11.806238281991,-10.5961564883062,1,1,1
absolute,XM2301,UPPER_LIMB_R,JOY-SAD,-106.092365733918,-108.338757083802,-104.457302119881,-14.3874894338826,-14.9783733647455,-13.2142018203969,1,1,1
absolute,XM2301,WRIST_L,NEUTRAL-DISGUST,45.8223930152193,39.3091867891281,49.396037161249,6.34620513606925,4.89980153687522,7.45971690921387,1,1,1
absolute,XM2301,WRIST_L,NEUTRAL-JOY,99.6376992112745,91.6635256557672,103.408463150221,15.6586430873244,14.5079204734094,16.4662209419583,1,1,1
