participantID,seq,exp,clipDynamicMedian,clipSelectedFrac,clipCandidateSamples,valence,dominance,arousal,liking,familiarity
07-9UAD,18,28,22.7600134080028,0.993694247923716,6502,5,5.8,2.3,4.9,1
07-9UAD,19,24,22.4832091383681,0.990931721194879,5624,5,6,4.4,3.4,1
07-9UAD,20,13,22.5438926742124,1,6419,5,6.3,3.1,3.4,1
07-9UAD,21,10,22.1773008823336,1,6484,6.6,6.1,4.5,7.7,2
07-9UAD,22,6,23.0409044521628,0.995691644868441,6499,6.8,4.8,4.9,9,3
07-9UAD,23,36,22.6119669892198,1,6465,6.5,5.5,4.4,7.1,2
07-9UAD,24,38,23.6143614070165,0.988630663768601,5981,6.2,5.1,4.8,6.5,1
07-9UAD,25,40,23.3403726838278,0.988057919092402,6699,6.1,5.3,5,6.9,1
07-9UAD,26,32,22.7412473843264,1,6372,6.3,5,3.8,6.5,2
07-9UAD,27,33,23.2646436074216,1,6054,5.1,6,3.6,3.6,1
07-9UAD,28,11,23.0902637727687,0.997828110456097,6446,6.4,5.7,4.4,6.9,2
07-9UAD,29,39,22.9691450308082,1,6477,5.8,5.3,4.7,5,1
07-9UAD,30,17,23.2279118699591,1,6179,5,5,4.8,4.2,1
07-9UAD,31,19,22.9393858150758,0.983761212496134,6466,6.9,4.8,5.1,9,1
07-9UAD,32,2,23.1542735829712,1,6410,7.9,4.5,5.1,9,5
07-9UAD,33,20,23.125983370334,0.995635910224439,6416,7,6.5,4,9,5
07-9UAD,34,14,22.2746263797623,1,6406,7,6.7,3,9,5
07-9UAD,35,34,23.0013407321361,1,6662,5.5,4,5.7,5.9,1
07-9UAD,36,18,23.2303624593915,1,6454,7.1,4.1,4.6,9,5
07-9UAD,37,21,23.2426115308778,1,6732,5,4.5,3.1,2.7,1
07-9UAD,38,3,23.2303624593915,0.994331395348837,6880,7.1,6,5,9,5
08-9UB2,1,30,18.2173874384099,1,6469,2.8,6.7,1,8.9,4
08-9UB2,2,21,21.5022204432762,0.968043995243757,6728,3,4.7,3,1,1
08-9UB2,3,10,20.9470404037186,1,6472,5,6.8,3.1,1,1
08-9UB2,4,28,20.2168756354716,1,6531,3.5,6.6,5,6.6,1
08-9UB2,5,12,19.8675235310727,0.987870413020114,6513,7.1,6.7,3,9,1
08-9UB2,6,7,19.5599961020915,1,6414,7,4.7,6.9,9,1
08-9UB2,7,39,22.0434222911841,0.986913010007698,6495,5,6.8,1.1,1,1
08-9UB2,8,15,21.9968898596453,1,6510,5,6.8,3,6.9,1
08-9UB2,9,6,18.9164225126162,0.961325966850829,6516,6.9,6.7,5,7.3,1
08-9UB2,10,22,20.7970368824163,0.986194477791116,6664,3,6.6,1.8,8.9,1
08-9UB2,11,23,24.3314777974651,0.983714856352742,6509,2.2,4.6,6.8,2.7,1
08-9UB2,12,3,21.3987225764222,0.993168604651163,6880,6.1,6.7,2.7,7,1
08-9UB2,13,26,20.3235913753592,0.942696629213483,6230,5,9,2.2,2,1
08-9UB2,14,36,19.5235837560578,0.988336402701044,6516,1.1,6.6,2.9,1,1
08-9UB2,15,31,20.3934945582041,1,6385,2.1,7.7,1.9,1,1
08-9UB2,16,37,19.9304589684309,0.97323373793962,6426,1,5.8,3.2,1,1
08-9UB2,17,14,24.7811972434453,0.959044368600683,6446,4.2,6.8,1,3,1
08-9UB2,18,25,22.6886200397777,0.962013729977117,6555,4.1,6.7,2.5,8,1
08-9UB2,19,38,19.4007375149217,0.986883612817533,6023,3.1,6.8,1.5,1,1
08-9UB2,20,34,20.1209133776811,0.981826241134752,6768,5,9,1,1,1
08-9UB2,21,27,22.7925045214867,0.973184883173906,6377,6.5,6.7,3,9,1
08-9UB2,22,4,23.9945877123114,0.922183152423177,6541,7.1,5.6,3.4,9,1
08-9UB2,23,33,22.6547236525974,1,6081,5.1,6.9,6.7,1,1
08-9UB2,24,40,23.0384337101631,0.976073710803983,6729,5,6.7,5,9,1
08-9UB2,25,11,24.6129372627222,1,6471,7,5.7,3,9,1
08-9UB2,26,8,20.7696471209169,0.964698628025281,6487,7,6.8,4.4,9,1
08-9UB2,27,20,22.3486159501074,0.977718915550016,6418,7,8.6,6,9,1
08-9UB2,28,2,24.1011098605244,0.984026054590571,6448,3,8.2,3,1,1
08-9UB2,29,18,24.2705728764175,0.986461251167134,6426,5,8.9,1.7,5.9,1
08-9UB2,30,19,21.6867469879518,0.97911227154047,6511,6.5,7.9,5,9,1
08-9UB2,31,32,22.3205798125431,0.988600874453467,6404,5,8,2.4,1,1
08-9UB2,32,24,21.9165190816821,0.9613074204947,5660,3.1,6.9,5,8,1
08-9UB2,33,1,22.5262101964265,0.98811544991511,6479,5,9,3.7,8.6,1
08-9UB2,34,5,20.0812662192031,0.990325552825553,6512,5,9,1,7.1,4
08-9UB2,35,29,23.9340146880669,0.984530555981008,6529,5,9,1,7.3,1
08-9UB2,36,13,21.8593024871143,0.988956291802769,6429,6.5,8.7,1.6,7.7,1
08-9UB2,37,17,21.5814964419698,0.989344526961576,6194,5.8,9,1.5,6.9,1
08-9UB2,38,9,24.6152499653125,0.978254164096237,6484,6.2,8.1,3.8,9,1
09-9UDP,1,26,19.0184632918592,0.993558776167472,6210,7.5,5.4,3,8.9,4
09-9UDP,2,3,20.081266219203,1,6843,6.4,5,6.9,5.6,3
09-9UDP,3,20,19.6224674286335,1,6386,8.5,6.6,7.2,9,5
09-9UDP,4,25,19.1794122541363,1,6553,5.2,2.8,4.4,2.1,2
09-9UDP,5,7,19.6369671479169,1,6369,3.8,4.9,5.1,4,2
09-9UDP,6,4,19.599245565553,1,6557,6.1,5.4,5.9,6.5,3
09-9UDP,7,10,19.7641059913551,1,6473,2.1,5.8,6.2,1,2
09-9UDP,8,21,18.7380330201681,1,6723,3,6,3.1,1,2
09-9UDP,9,36,20.1152542822584,1,6464,1.4,6.2,6.4,1,2
09-9UDP,10,9,19.114004054084,1,6476,7.2,6.7,6.7,6.7,3
09-9UDP,11,15,18.8168537626233,1,6462,5.1,5.1,4.8,5.1,2
09-9UDP,12,29,18.3450555050109,1,6527,4.2,6.4,5.9,6.9,3
09-9UDP,13,24,20.0812662192031,1,5655,8.2,7.6,7.5,9,4
09-9UDP,14,13,22.5703903811027,0.997183098591549,6390,4.7,2.6,3.5,2.5,1
09-9UDP,15,2,19.0633076438888,1,6451,5.7,6.8,6.1,7.3,4
09-9UDP,16,30,22.3638935747356,0.991372669850562,6491,2.7,7.6,7.6,6.5,3
09-9UDP,17,11,20.6886360118122,1,6446,8.6,7.3,7,7.8,3
09-9UDP,18,27,19.1229365278424,1,6364,7.3,6.6,7.5,7.1,4
09-9UDP,19,17,21.9761771527358,0.985705107613235,6226,5.2,4.6,4.6,4.9,2
