participantID,seq,exp,nSamples,medianVal,maxVal
10-9UHM,11,7,500,26.9321240234397,42.8625707262229
10-9UHM,12,10,500,23.3306022440226,35.2725744176246
10-9UHM,13,36,500,22.5905579946079,26.7901359489223
10-9UHM,14,37,500,28.0045848851186,100.850967010092
10-9UHM,15,38,500,29.6591170291659,36.3503082778428
10-9UHM,16,2,500,26.7401547708436,31.6255216793032
10-9UHM,17,27,500,25.6603269011229,33.1734172045507
10-9UHM,18,1,500,22.4958559323826,28.8387827488415
10-9UHM,19,29,500,22.5350522847989,36.542420296097
10-9UHM,20,4,500,29.6936439162859,34.5485895042173
10-9UHM,21,18,500,31.0551855815966,37.5928449027292
10-9UHM,22,11,500,29.378520944408,35.6290505164654
10-9UHM,23,14,500,24.2224197458863,36.8372095951748
10-9UHM,24,40,500,29.5552926204507,35.3145099089015
10-9UHM,25,23,500,28.93239139585,35.8425049574458
10-9UHM,26,28,500,22.1939788860774,26.2275169098997
10-9UHM,27,22,500,21.5458579745922,56.3435688714086
10-9UHM,28,17,500,26.529609371121,74.4484193938676
10-9UHM,29,32,500,24.3840578136438,26.9828046794321
10-9UHM,30,26,500,25.183372134374,31.1686281723561
10-9UHM,31,20,500,24.9460407305141,33.0392992790413
10-9UHM,32,15,500,24.536495787843,30.3787650421247
10-9UHM,33,34,500,26.4124365134215,30.4349284567605
10-9UHM,34,24,500,26.0773266157825,30.0187272492733
10-9UHM,35,33,500,21.9204138132168,25.2905155555488
10-9UHM,36,30,500,25.8349865359415,29.3630249169638
10-9UHM,37,39,500,21.7522699694162,37.638245078167
10-9UHM,38,3,500,30.5301689190198,37.5125036435379
11-9UIZ,1,14,500,20.8462449038223,42.8864695687412
11-9UIZ,2,6,500,19.5570830056531,23.5564356581038
11-9UIZ,3,12,500,21.3387838831297,27.3515881777454
11-9UIZ,4,19,500,24.7179461419449,37.3604458484471
11-9UIZ,5,13,500,19.9590001783406,22.642156544706
11-9UIZ,6,38,500,18.3652139953443,22.9393858150757
11-9UIZ,7,1,500,18.8832912639331,33.9938095039056
11-9UIZ,8,11,500,20.6803798214489,25.5480516873384
11-9UIZ,9,5,500,19.2756318264161,32.5218073041333
11-9UIZ,10,8,500,20.9144039454476,24.6799176503101
11-9UIZ,11,21,500,23.5636841640423,39.9636083206916
11-9UIZ,12,33,500,20.3543775837963,26.2275169098998
11-9UIZ,13,4,500,19.4285916445441,24.6776110081583
11-9UIZ,14,29,500,19.1259130920332,24.2776081650942
11-9UIZ,15,22,500,19.6326183030281,35.4769428766591
11-9UIZ,16,9,500,20.1237391475543,25.9811003542546
11-9UIZ,17,26,500,19.7424882198438,35.6929019126987
11-9UIZ,18,32,500,20.0472203317583,24.6314328033843
11-9UIZ,19,28,500,20.3039753570515,36.3816150688304
11-9UIZ,20,30,500,22.7450018552598,37.0467762698829
11-9UIZ,21,2,500,20.0741780794598,33.5895079916294
11-9UIZ,22,40,500,19.9176015275695,25.9240712766881
